,Drug Vector,Encoded Weightage
0,0 0 0 0 0 0,2.0
1,0 0 0 0 0 1,1.9318181818181819
2,0 0 0 0 1 0,1.5909090909090908
3,0 0 0 0 1 1,1.5227272727272727
4,0 0 0 1 0 0,0.93181818181818177
5,0 0 0 1 0 1,0.86363636363636365
6,0 0 0 1 1 0,0.38636363636363635
7,0 0 0 1 1 1,0.31818181818181818
8,0 0 1 0 0 0,1.7840909090909092
9,0 0 1 0 0 1,1.7159090909090908
10,0 0 1 0 1 0,1.4318181818181819
11,0 0 1 0 1 1,1.3636363636363635
12,0 0 1 1 0 0,0.85227272727272729
13,0 0 1 1 0 1,0.78409090909090906
14,0 0 1 1 1 0,0.38636363636363635
15,0 0 1 1 1 1,0.31818181818181818
16,0 1 0 0 0 0,1.5681818181818181
17,0 1 0 0 0 1,1.5
18,0 1 0 0 1 0,1.2727272727272727
19,0 1 0 0 1 1,1.2045454545454546
20,0 1 0 1 0 0,0.77272727272727271
21,0 1 0 1 0 1,0.70454545454545459
22,0 1 0 1 1 0,0.38636363636363635
23,0 1 0 1 1 1,0.31818181818181818
24,0 1 1 0 0 0,1.3522727272727273
25,0 1 1 0 0 1,1.2840909090909092
26,0 1 1 0 1 0,1.1136363636363635
27,0 1 1 0 1 1,1.0454545454545454
28,0 1 1 1 0 0,0.69318181818181823
29,0 1 1 1 0 1,0.625
30,0 1 1 1 1 0,0.38636363636363635
31,0 1 1 1 1 1,0.31818181818181818
32,1 0 0 0 0 0,1.3522727272727273
33,1 0 0 0 0 1,1.2840909090909092
34,1 0 0 0 1 0,1.1136363636363635
35,1 0 0 0 1 1,1.0454545454545454
36,1 0 0 1 0 0,0.69318181818181823
37,1 0 0 1 0 1,0.625
38,1 0 0 1 1 0,0.38636363636363635
39,1 0 0 1 1 1,0.31818181818181818
40,1 0 1 0 0 0,1.1363636363636365
41,1 0 1 0 0 1,1.0681818181818181
42,1 0 1 0 1 0,0.95454545454545459
43,1 0 1 0 1 1,0.88636363636363635
44,1 0 1 1 0 0,0.61363636363636365
45,1 0 1 1 0 1,0.54545454545454541
46,1 0 1 1 1 0,0.38636363636363635
47,1 0 1 1 1 1,0.31818181818181818
48,1 1 0 0 0 0,1.3522727272727273
49,1 1 0 0 0 1,1.2840909090909092
50,1 1 0 0 1 0,1.1136363636363635
51,1 1 0 0 1 1,1.0454545454545454
52,1 1 0 1 0 0,0.69318181818181823
53,1 1 0 1 0 1,0.625
54,1 1 0 1 1 0,0.38636363636363635
55,1 1 0 1 1 1,0.31818181818181818
56,1 1 1 0 0 0,1.1363636363636365
57,1 1 1 0 0 1,1.0681818181818181
58,1 1 1 0 1 0,0.95454545454545459
59,1 1 1 0 1 1,0.88636363636363635
60,1 1 1 1 0 0,0.61363636363636365
61,1 1 1 1 0 1,0.54545454545454541
62,1 1 1 1 1 0,0.38636363636363635
63,1 1 1 1 1 1,0.31818181818181818
