,drug vector,condensed weight
159,"DRG9,DRG13",48.3146067416
160,"DRG9,DRG14",34.8314606742
161,"DRG9,DRG15",-1.12359550562
162,"DRG9,DRG16",55.0561797753
163,"DRG9,DRG17",36.5168539326
164,"DRG9,DRG18",23.595505618
165,"DRG9,DRG19",-6.74157303371
166,"DRG9,DRG20",-6.1797752809
167,"DRG9,DRG21",-5.61797752809
168,"DRG9,DRG22",-5.61797752809
169,"DRG9,DRG23",39.3258426966
170,"DRG9,DRG24",-6.74157303371
171,"DRG10,DRG11",49.4382022472
172,"DRG10,DRG12",43.8202247191
173,"DRG10,DRG13",32.5842696629
174,"DRG10,DRG14",78.0898876404
175,"DRG10,DRG15",46.0674157303
176,"DRG10,DRG16",39.3258426966
177,"DRG10,DRG17",79.7752808989
178,"DRG10,DRG18",47.191011236
179,"DRG10,DRG19",24.7191011236
180,"DRG10,DRG20",25.2808988764
181,"DRG10,DRG21",25.8426966292
182,"DRG10,DRG22",25.8426966292
183,"DRG10,DRG23",55.0561797753
184,"DRG10,DRG24",24.7191011236
185,"DRG11,DRG12",10.1123595506
186,"DRG11,DRG13",56.1797752809
187,"DRG11,DRG14",24.7191011236
188,"DRG11,DRG15",12.3595505618
189,"DRG11,DRG16",62.9213483146
190,"DRG11,DRG17",26.404494382
191,"DRG11,DRG18",11.797752809
192,"DRG11,DRG19",-5.61797752809
193,"DRG11,DRG20",-21.9101123596
194,"DRG11,DRG21",-4.49438202247
195,"DRG11,DRG22",-4.49438202247
196,"DRG11,DRG23",59.5505617978
197,"DRG11,DRG24",-5.61797752809
198,"DRG12,DRG13",50.5617977528
199,"DRG12,DRG14",34.8314606742
200,"DRG12,DRG15",-1.12359550562
201,"DRG12,DRG16",57.3033707865
202,"DRG12,DRG17",36.5168539326
203,"DRG12,DRG18",25.2808988764
204,"DRG12,DRG19",-4.49438202247
205,"DRG12,DRG20",-3.93258426966
206,"DRG12,DRG21",-3.37078651685
207,"DRG12,DRG22",-3.37078651685
208,"DRG12,DRG23",39.3258426966
209,"DRG12,DRG24",-4.49438202247
210,"DRG13,DRG14",84.2696629213
211,"DRG13,DRG15",52.808988764
